ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour Dist(Mpc)
1 194.323669 -6.542323 12.412436 13.497386 -99.000000 -99.000000 1 1200 0.076799 38.7 179.578080
2 196.262741 -11.213544 12.762212 13.406153 -99.000000 -99.000000 1 1200 0.040469 61.8 205.351798
3 196.334427 -10.608647 12.717645 13.460279 -99.000000 -99.000000 1 1200 0.034374 31.7 192.232661
4 191.468155 -1.680375 13.138156 14.258637 11.270451 12.390931 1 1200 0.025373 58.6 222.605471
5 196.519028 -11.562222 12.817121 13.385416 -99.000000 -99.000000 1 1200 0.025136 52.3 198.874588
6 195.079498 -8.087383 12.499900 13.510700 -99.000000 -99.000000 1 1200 0.024501 37.2 131.283219
7 196.370000 -11.267810 12.776765 13.405901 -99.000000 -99.000000 1 1200 0.021836 41.9 205.242470
8 194.870102 -7.429252 12.468185 13.514495 -99.000000 -99.000000 1 1200 0.021622 35.2 195.637752
9 193.424088 -4.884790 12.334253 13.455625 -99.000000 -99.000000 1 1200 0.020833 44.7 103.212302
10 193.635086 -6.859438 12.371381 13.446630 -99.000000 -99.000000 1 1200 0.020483 69.6 67.280345
11 195.156219 -7.811415 12.497524 13.523305 -99.000000 -99.000000 1 1200 0.019707 36.9 217.808510
12 197.925888 -10.649174 12.823742 13.566376 -99.000000 -99.000000 1 1200 0.018183 70.0 168.585792
13 191.239105 -0.043228 13.365532 14.485533 11.013015 12.133015 1 1200 0.017167 70.3 220.423619
14 195.081192 -8.153216 12.503950 13.506875 -99.000000 -99.000000 1 1200 0.014326 34.9 262.733100
15 190.554016 -0.098936 13.313042 14.433044 10.974159 12.094160 1 1200 0.013937 63.9 214.792394
16 190.791336 -1.441194 13.132182 14.252538 11.186307 12.306663 1 1200 0.012666 71.1 212.526476
17 190.937714 -0.357413 13.304378 14.424399 11.033962 12.153984 1 1200 0.012506 62.5 217.844091
18 196.821075 -10.947557 12.770689 13.472121 -99.000000 -99.000000 1 1200 0.012184 26.1 201.019814
19 194.143738 -5.137527 12.383516 13.502316 -99.000000 -99.000000 1 1200 0.011829 62.7 103.789744
20 195.356857 -9.363192 12.573808 13.473773 -99.000000 -99.000000 1 1200 0.011723 49.8 97.749901
21 189.260178 1.818968 13.450842 14.571405 10.663285 11.783848 1 1200 0.011610 71.7 203.663631
22 196.375275 -9.630033 12.652608 13.530762 -99.000000 -99.000000 1 1200 0.011575 31.1 203.427375
23 189.754837 0.365687 13.319063 14.439086 10.861559 11.981582 1 1200 0.011539 76.2 106.170712
24 194.764328 -5.731115 12.430523 13.538055 -99.000000 -99.000000 1 1200 0.011380 64.6 214.298903
25 192.401932 -3.844498 12.666426 13.788956 11.864635 12.987165 1 1200 0.011200 53.3 214.835148
26 193.807556 -6.548061 12.378029 13.462979 -99.000000 -99.000000 1 1200 0.011200 48.2 111.863914
27 196.369537 -11.267812 12.776735 13.405870 -99.000000 -99.000000 1 1200 0.010739 41.9 206.603632
28 194.159210 -6.733356 12.403830 13.484065 -99.000000 -99.000000 1 1200 0.010502 44.1 273.859871
29 194.290665 -4.698196 12.391589 13.513833 -99.000000 -99.000000 1 1200 0.010471 69.5 207.828282
30 195.218170 -7.757245 12.501654 13.527435 -99.000000 -99.000000 1 1200 0.010434 36.9 198.358335
31 191.116440 -1.634597 13.121845 14.242302 11.239890 12.360347 1 1200 0.010418 60.7 212.233827
32 192.676773 -2.825508 12.991757 14.113121 11.577116 12.698480 1 1200 0.010418 59.7 212.193277
33 194.702087 -7.664495 12.463697 13.496582 -99.000000 -99.000000 1 1200 0.010372 36.3 273.136947
34 195.759598 -10.358596 12.659594 13.441686 -99.000000 -99.000000 1 1200 0.010099 52.6 171.532655
35 193.372238 -5.429688 12.333922 13.449043 -99.000000 -99.000000 1 1200 0.009925 49.4 68.425970
36 194.912918 -5.968976 12.443646 13.544743 -99.000000 -99.000000 1 1200 0.009898 67.8 215.885877
37 190.777145 -0.437861 13.281628 14.401661 11.035291 12.155324 1 1200 0.009387 62.5 212.284344
38 196.039276 -7.473475 12.546130 13.592440 -99.000000 -99.000000 1 1200 0.008655 72.0 211.729410
39 194.515320 -9.063350 12.502217 13.433159 -99.000000 -99.000000 1 1200 0.008544 73.6 212.190396
40 196.304413 -11.358539 12.779879 13.394043 -99.000000 -99.000000 1 1200 0.008505 56.8 209.536946
41 193.407928 -5.234685 12.335313 13.452411 -99.000000 -99.000000 1 1200 0.008397 45.7 246.078157
42 195.848221 -11.852547 12.804024 13.309072 -99.000000 -99.000000 1 1200 0.008255 89.5 238.030343
43 193.902283 -8.792485 12.451615 13.402023 -99.000000 -99.000000 1 1200 0.007757 84.9 134.351227
44 190.050858 0.695742 13.378984 14.499067 10.841047 11.961130 1 1200 0.007568 67.6 208.344630
45 195.615067 -10.589342 12.663012 13.418997 -99.000000 -99.000000 1 1200 0.007478 65.6 230.224599
46 193.292892 -6.414301 12.341495 13.430890 -99.000000 -99.000000 1 1200 0.007422 66.9 100.366766
47 194.004455 -6.818390 12.396006 13.471255 -99.000000 -99.000000 1 1200 0.007192 44.1 136.130046
48 193.280518 -4.061464 12.618536 13.741363 12.029372 13.152199 1 1200 0.007115 56.5 142.284848
49 195.043000 -6.222650 12.456082 13.549651 -99.000000 -99.000000 1 1200 0.007103 60.4 219.796597
50 195.037689 -8.253220 12.505115 13.499911 -99.000000 -99.000000 1 1200 0.006902 34.9 211.510352
51 196.572540 -7.761753 12.591945 13.617727 -99.000000 -99.000000 1 1200 0.006898 82.0 125.485166
52 195.306351 -9.610453 12.581346 13.459501 -99.000000 -99.000000 1 1200 0.006882 58.1 95.200221
53 195.043274 -6.222663 12.456101 13.549669 -99.000000 -99.000000 1 1200 0.006826 60.4 221.994298
54 194.254016 -6.461390 12.405570 13.494965 -99.000000 -99.000000 1 1200 0.006815 38.7 162.881445
55 196.420853 -10.445301 12.710154 13.479293 -99.000000 -99.000000 1 1200 0.006790 31.7 302.310964
56 191.017227 -1.722375 13.100949 14.221454 11.247510 12.368015 1 1200 0.006756 65.8 214.833441
57 192.500000 -3.575718 12.773078 13.895266 11.771401 12.893589 1 1200 0.006449 51.5 247.924898
58 189.660736 1.472988 13.440290 14.560657 10.727441 11.847808 1 1200 0.006282 69.2 204.591909
59 192.412796 -3.856441 12.661463 13.784011 11.871028 12.993576 1 1200 0.006234 53.3 224.418766
60 192.494156 -3.575995 12.772688 13.894876 11.771011 12.893199 1 1200 0.006111 51.5 256.645163
61 190.706665 0.024233 13.338544 14.458544 10.969011 12.089011 1 1200 0.006027 64.2 219.832119
62 195.303818 -9.626287 12.581177 13.459332 -99.000000 -99.000000 1 1200 0.006018 58.1 98.495042
63 194.605164 -7.864737 12.464468 13.482887 -99.000000 -99.000000 1 1200 0.005973 43.6 273.570684
64 191.494263 -2.338038 13.017325 14.138261 11.394308 12.515244 1 1200 0.005920 63.2 224.459184
65 189.619888 1.754377 13.468372 14.588897 10.693755 11.814280 1 1200 0.005905 70.0 74.112391
66 192.633957 -6.244413 12.295479 13.389048 -99.000000 -99.000000 1 1200 0.005854 86.9 124.902999
67 195.084061 -6.103772 12.456869 13.554339 -99.000000 -99.000000 1 1200 0.005798 70.8 56.263786
68 197.268051 -10.034524 12.735281 13.567125 -99.000000 -99.000000 1 1200 0.005518 55.7 167.624551
69 196.497162 -7.513888 12.579947 13.619675 -99.000000 -99.000000 1 1200 0.005390 82.0 129.064261
70 191.120316 -0.452931 13.302783 14.422818 11.059891 12.179926 1 1200 0.005296 66.2 107.921896
71 196.404327 -10.986694 12.749959 13.437285 -99.000000 -99.000000 1 1200 0.005163 34.2 297.942017
72 194.343887 -4.685974 12.395137 13.517381 -99.000000 -99.000000 1 1200 0.005142 77.9 214.807612
73 196.175644 -11.805820 12.817841 13.338912 -99.000000 -99.000000 1 1200 0.005129 77.0 173.232900
74 188.552475 3.920432 13.603527 14.726151 10.414179 11.536803 1 1200 0.005128 76.7 123.904353
75 197.094000 -11.414220 12.840084 13.439116 -99.000000 -99.000000 1 1200 0.005110 25.7 179.662555
76 193.377993 -4.679705 12.330745 13.452988 -99.000000 -99.000000 1 1200 0.004941 46.7 177.394123
77 194.219345 -6.770577 12.410332 13.485581 -99.000000 -99.000000 1 1200 0.004924 41.2 237.894158
78 194.928543 -5.426306 12.437676 13.552796 -99.000000 -99.000000 1 1200 0.004892 84.2 182.031022
79 193.892187 -6.162549 12.377411 13.474881 -99.000000 -99.000000 1 1200 0.004737 43.0 193.039787
80 190.223373 1.008458 13.426972 14.547146 10.815970 11.936145 1 1200 0.004725 68.2 105.615330
81 194.731018 -5.155557 12.422668 13.541468 -99.000000 -99.000000 1 1200 0.004721 77.4 181.349160
82 195.210510 -6.995858 12.481798 13.546270 -99.000000 -99.000000 1 1200 0.004697 47.9 254.937776
83 197.404037 -10.495838 12.775700 13.544839 -99.000000 -99.000000 1 1200 0.004691 50.0 170.023813
84 196.831833 -10.903114 12.771406 13.472838 -99.000000 -99.000000 1 1200 0.004656 26.1 202.512384
85 193.479933 -5.271715 12.340113 13.457211 -99.000000 -99.000000 1 1200 0.004627 45.7 187.351105
86 191.685669 -1.764413 13.138358 14.258887 11.299202 12.419732 1 1200 0.004623 58.4 223.762277
87 191.314621 -1.380201 13.177698 14.298023 11.210593 12.330918 1 1200 0.004569 59.9 221.220318
88 194.602371 -10.042237 12.557569 13.389413 -99.000000 -99.000000 1 1200 0.004542 84.4 212.339293
89 194.912125 -7.351753 12.467827 13.520456 -99.000000 -99.000000 1 1200 0.004519 35.5 191.022102
90 195.685043 -8.830723 12.570465 13.520874 -99.000000 -99.000000 1 1200 0.004397 32.1 122.831933
91 190.652191 1.389593 13.498236 14.618567 10.801725 11.922056 1 1200 0.004377 76.6 156.071830
92 193.566528 -7.538331 12.384571 13.424299 -99.000000 -99.000000 1 1200 0.004376 85.8 218.441817
93 195.449570 -8.599290 12.545519 13.514424 -99.000000 -99.000000 1 1200 0.004371 31.8 274.341900
94 192.439728 -3.211995 12.877698 13.999466 11.659165 12.780933 1 1200 0.004369 51.8 254.151499
95 195.125488 -9.151413 12.547940 13.468792 -99.000000 -99.000000 1 1200 0.004285 54.0 202.833927
96 196.547379 -11.553609 12.819011 13.387306 -99.000000 -99.000000 1 1200 0.004223 52.3 198.142514
97 196.293259 -10.673819 12.714900 13.457534 -99.000000 -99.000000 1 1200 0.004170 42.9 261.349451
98 186.585373 7.460118 13.740901 14.870471 10.007579 11.137149 1 1200 0.004167 85.0 114.709031
99 191.287643 -0.212979 13.346572 14.466580 11.038439 12.158447 1 1200 0.004165 70.3 220.168232
100 192.906143 -3.931901 12.662089 13.784733 11.936086 13.058730 1 1200 0.004107 49.8 166.028287
