ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
69 26.835182 16.133529 27.534346 28.700353 22.877671 24.043678 1 1200 0.006177 89.3
70 26.612421 16.018909 27.514739 28.680025 22.868298 24.033583 1 1200 0.006155 89.3
71 26.471245 15.907267 27.501503 28.666216 22.863283 24.027996 1 1200 0.006116 78.8
72 26.296268 16.623958 27.517160 28.686134 22.820035 23.989009 1 1200 0.006012 83.0
73 26.581892 16.197894 27.520300 28.686744 22.857508 24.023952 1 1200 0.005851 89.3
74 25.060036 17.160307 27.453937 28.626160 22.715178 23.887402 1 1200 0.005655 70.0
75 25.010082 17.483672 27.462234 28.636541 22.698136 23.872443 1 1200 0.005518 73.4
76 25.612125 17.427902 27.500594 28.674577 22.740373 23.914356 1 1200 0.005517 85.9
77 25.351570 17.334172 27.479658 28.652996 22.727213 23.900552 1 1200 0.005508 76.1
78 27.091885 14.988140 27.505658 28.665174 22.947078 24.106594 1 1200 0.005470 87.0
79 26.338938 16.369346 27.510690 28.678165 22.833693 24.001168 1 1200 0.005368 86.4
80 26.086288 17.481719 27.533981 28.708288 22.769883 23.944190 1 1200 0.005233 88.9
81 26.509352 16.039505 27.508822 28.674251 22.860330 24.025759 1 1200 0.005100 89.3
82 25.817230 16.627656 27.485225 28.654198 22.788099 23.957073 1 1200 0.005042 83.0
83 25.949545 16.771466 27.499580 28.669468 22.790471 23.960359 1 1200 0.005036 83.0
84 25.864382 14.275791 27.393319 28.549029 22.899555 24.055265 1 1200 0.005013 62.5
85 27.453962 14.740616 27.519737 28.677956 22.982573 24.140791 1 1200 0.004995 89.6
86 26.560713 16.141839 27.516048 28.682056 22.859373 24.025380 1 1200 0.004993 89.3
87 25.122965 17.331267 27.464417 28.637756 22.711973 23.885311 1 1200 0.004992 76.1
88 27.665529 14.090989 27.506137 28.660996 23.027741 24.182600 1 1200 0.004875 83.7
89 26.274441 15.921236 27.488383 28.653096 22.850163 24.014876 1 1200 0.004869 78.8
90 25.828794 17.164791 27.506088 28.678471 22.765369 23.937751 1 1200 0.004848 88.9
91 25.018419 17.377871 27.459233 28.632893 22.702896 23.876556 1 1200 0.004829 73.4
92 25.669355 16.661156 27.476291 28.645417 22.777164 23.946289 1 1200 0.004744 78.8
93 25.090643 17.125998 27.455075 28.627140 22.718279 23.890344 1 1200 0.004720 70.0
94 25.636415 16.081227 27.452529 28.618247 22.799942 23.965659 1 1200 0.004711 72.2
95 26.770756 16.226394 27.533835 28.700426 22.869008 24.035599 1 1200 0.004688 89.3
96 26.077959 17.375196 27.529869 28.703529 22.773532 23.947192 1 1200 0.004679 88.9
97 26.049635 17.538887 27.533310 28.707942 22.765343 23.939975 1 1200 0.004660 88.9
98 25.074492 17.159690 27.454900 28.627124 22.716141 23.888365 1 1200 0.004639 70.0
99 25.316845 15.835941 27.421663 28.585950 22.789630 23.953917 1 1200 0.004613 67.1
100 25.818832 16.995981 27.499091 28.670372 22.772139 23.943420 1 1200 0.004596 78.8
