ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour Dist(Mpc)
60 271.182281 -1.641741 18.457785 19.578248 16.579390 17.699853 1 1200 0.005428 84.2 176.875164
61 267.032379 6.849984 19.063312 20.191396 15.412921 16.541006 1 1200 0.005124 83.6 108.861387
62 188.805000 72.232200 11.592219 13.581781 -99.000000 -99.000000 1 1200 0.005111 66.9 102.206973
63 269.445435 4.617829 19.056113 20.179778 15.746280 16.869945 1 1200 0.005088 82.2 120.859083
64 198.079224 70.649353 11.980169 14.430395 -99.000000 -99.000000 1 1200 0.005010 76.1 130.046446
65 271.825104 -1.365754 18.546834 19.667153 16.576194 17.696513 1 1200 0.004797 60.1 139.174910
66 194.545135 71.420158 11.831759 14.107592 -99.000000 -99.000000 1 1200 0.004738 74.4 106.985142
67 173.745728 73.512749 11.001702 12.164395 -99.000000 -99.000000 1 1200 0.004732 60.9 189.286402
68 269.529694 3.666157 18.980789 20.103097 15.834195 16.956503 1 1200 0.004680 76.3 155.679463
69 166.633743 72.277893 10.132212 12.085620 -99.000000 -99.000000 1 1200 0.004677 57.0 189.689322
70 167.591537 72.244507 10.177989 12.167550 -99.000000 -99.000000 1 1200 0.004670 57.9 145.142519
71 271.750916 -1.268264 18.557792 19.678066 16.555389 17.675664 1 1200 0.004580 60.1 120.321015
72 196.671066 69.959618 11.827751 14.395058 -99.000000 -99.000000 1 1200 0.004509 86.8 110.145374
73 269.217834 1.760753 18.774901 19.895427 16.000284 17.120810 1 1200 0.004470 90.0 177.082820
74 269.524292 1.322825 18.748207 19.868504 16.068069 17.188365 1 1200 0.004266 80.5 184.629088
75 268.326000 6.568760 19.128881 20.256281 15.520519 16.647919 1 1200 0.004121 87.8 161.020873
76 166.436508 71.547142 9.986617 12.204918 -99.000000 -99.000000 1 1200 0.003896 85.3 188.259884
77 269.789154 1.776706 18.816216 19.936760 16.035127 17.155671 1 1200 0.003891 72.8 235.895213
78 166.485443 72.524811 10.179133 12.018926 -99.000000 -99.000000 1 1200 0.003766 37.9 87.952373
79 272.333588 -0.671943 18.685877 19.805954 16.505191 17.625268 1 1200 0.003683 78.9 116.141990
80 267.699341 6.042222 19.049377 20.175640 15.517606 16.643868 1 1200 0.003640 82.1 84.745476
81 267.661285 5.428801 19.001282 20.126345 15.561826 16.686890 1 1200 0.003636 85.0 161.058255
82 176.088074 73.509453 11.157858 12.320552 -99.000000 -99.000000 1 1200 0.003618 69.1 127.706390
83 175.422897 71.563545 10.585709 12.804010 -99.000000 -99.000000 1 1200 0.003610 83.0 210.135330
84 169.817581 73.119354 10.571105 12.071239 -99.000000 -99.000000 1 1200 0.003605 38.7 177.631336
85 270.571075 -0.270005 18.625283 19.745295 16.330848 17.450860 1 1200 0.003563 77.4 218.692203
86 269.935028 3.963383 19.033557 20.156251 15.835086 16.957780 1 1200 0.003533 87.9 129.942431
87 167.624786 72.596481 10.274877 12.075094 -99.000000 -99.000000 1 1200 0.003493 38.9 136.783564
88 191.401688 71.318733 11.608461 13.911764 -99.000000 -99.000000 1 1200 0.003478 66.3 82.421192
89 270.356689 -0.484574 18.581759 19.701799 16.345760 17.465799 1 1200 0.003445 86.2 106.164636
90 178.360077 73.084366 11.117970 12.663373 -99.000000 -99.000000 1 1200 0.003428 58.2 182.115379
91 269.538055 3.734766 18.987426 20.109822 15.828586 16.950981 1 1200 0.003339 78.7 117.962444
92 163.275131 72.077568 9.855376 11.914642 -99.000000 -99.000000 1 1200 0.003255 62.6 238.715053
93 171.041580 72.929382 10.585979 12.219565 -99.000000 -99.000000 1 1200 0.003209 37.6 224.843963
94 270.546051 0.436755 18.713549 19.833581 16.239226 17.359258 1 1200 0.003142 66.5 222.008601
95 167.604889 72.285629 10.196955 12.150364 -99.000000 -99.000000 1 1200 0.003138 57.9 133.043995
96 269.788086 3.191707 18.955094 20.076842 15.894903 17.016651 1 1200 0.003134 79.8 104.283311
97 266.840424 7.328256 19.083160 20.212420 15.366303 16.495564 1 1200 0.003133 85.6 133.170557
98 270.003000 3.514400 18.998617 20.120734 15.879666 17.001783 1 1200 0.003125 79.8 98.071644
99 174.058858 72.420678 10.645727 12.562121 -99.000000 -99.000000 1 1200 0.003068 50.7 171.647268
100 270.003326 3.514859 18.998638 20.120756 15.879687 17.001805 1 1200 0.003005 79.8 117.541284
