ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour Dist(Mpc)
1 278.377000 67.136800 17.173323 19.943610 -99.000000 -99.000000 1 1200 0.138715 89.1 100.648645
2 278.400000 67.109950 17.174856 19.945144 -99.000000 -99.000000 1 1200 0.104193 89.1 100.555317
3 289.779419 70.694130 18.093515 20.543741 -99.000000 -99.000000 1 1200 0.080798 86.8 127.425923
4 278.400513 67.110672 17.174891 19.945178 -99.000000 -99.000000 1 1200 0.070024 89.1 100.047859
5 278.291687 66.959000 17.167759 19.937799 -99.000000 -99.000000 1 1200 0.068038 89.1 101.820073
6 289.207855 70.508705 18.044635 20.516412 -99.000000 -99.000000 1 1200 0.040561 86.8 101.411258
7 277.665894 67.987053 17.133328 19.888791 -99.000000 -99.000000 1 1200 0.029740 88.9 44.020645
8 281.031097 67.881470 17.357675 20.113138 -99.000000 -99.000000 1 1200 0.029346 88.7 118.662096
9 283.368164 68.475693 17.528205 20.254216 -99.000000 -99.000000 1 1200 0.021389 88.2 137.515945
10 288.662628 70.183693 17.978419 20.509931 -99.000000 -99.000000 1 1200 0.019146 88.7 172.701054
11 283.368000 68.475000 17.528194 20.254206 -99.000000 -99.000000 1 1200 0.018270 88.2 123.549523
12 282.733521 70.532272 17.613013 20.084790 -99.000000 -99.000000 1 1200 0.017305 87.8 176.035628
13 276.950867 66.707077 17.079462 19.847320 -99.000000 -99.000000 1 1200 0.016723 90.0 143.066200
14 282.233365 69.990258 17.531904 20.099211 -99.000000 -99.000000 1 1200 0.016070 86.5 147.596442
15 286.103239 69.695030 17.765996 20.381103 -99.000000 -99.000000 1 1200 0.012406 86.1 121.872423
16 287.405171 71.084370 17.982511 20.338179 -99.000000 -99.000000 1 1200 0.012396 83.7 168.168358
17 284.083199 70.851176 17.736565 20.141195 -99.000000 -99.000000 1 1200 0.012024 85.7 161.270573
18 286.225384 71.534999 17.972542 20.190843 -99.000000 -99.000000 1 1200 0.011211 83.7 114.748889
19 289.656972 70.287186 18.054259 20.566671 -99.000000 -99.000000 1 1200 0.010541 86.8 146.078830
20 288.850309 70.365965 18.000481 20.512894 -99.000000 -99.000000 1 1200 0.009514 88.7 130.908009
21 289.465568 70.688841 18.072591 20.522818 -99.000000 -99.000000 1 1200 0.009370 86.8 119.010056
22 288.829083 70.284660 17.999066 20.511478 -99.000000 -99.000000 1 1200 0.008353 88.7 148.184256
23 284.068816 69.905715 17.645912 20.229930 -99.000000 -99.000000 1 1200 0.008091 85.4 138.114822
24 285.956044 71.009868 17.873450 20.254022 -99.000000 -99.000000 1 1200 0.008069 84.0 153.419783
25 285.275670 69.380036 17.690366 20.346390 -99.000000 -99.000000 1 1200 0.007622 87.4 148.210278
26 289.295518 71.033267 18.108534 20.464202 -99.000000 -99.000000 1 1200 0.007318 85.0 138.347974
27 278.381000 67.146500 17.173590 19.943877 -99.000000 -99.000000 1 1200 0.007146 89.1 98.730229
28 282.757152 70.886611 17.648162 20.052792 -99.000000 -99.000000 1 1200 0.006968 88.6 129.036234
29 284.441896 69.458909 17.641225 20.284361 -99.000000 -99.000000 1 1200 0.006397 85.4 131.807989
30 287.389310 71.041881 17.981453 20.337122 -99.000000 -99.000000 1 1200 0.006115 83.7 168.517751
31 280.783741 68.577288 17.355911 20.081922 -99.000000 -99.000000 1 1200 0.006084 87.8 165.350980
32 281.650105 69.995537 17.493020 20.060327 -99.000000 -99.000000 1 1200 0.005560 86.5 91.600500
33 285.433075 71.427361 17.905122 20.152621 -99.000000 -99.000000 1 1200 0.005361 87.6 202.435464
34 289.914948 70.111588 18.052760 20.602567 -99.000000 -99.000000 1 1200 0.005199 88.6 204.188165
35 289.009521 70.923714 18.077015 20.457588 -99.000000 -99.000000 1 1200 0.004971 83.3 224.437648
36 283.659149 68.922508 17.560477 20.260743 -99.000000 -99.000000 1 1200 0.004962 87.0 175.149683
37 283.603943 70.610809 17.681817 20.132043 -99.000000 -99.000000 1 1200 0.004919 88.6 206.640918
38 284.060558 70.461169 17.691119 20.183622 -99.000000 -99.000000 1 1200 0.004794 85.2 184.058421
39 284.067810 69.905510 17.645845 20.229863 -99.000000 -99.000000 1 1200 0.004755 85.4 162.708245
40 291.147881 70.467587 18.163607 20.656110 -99.000000 -99.000000 1 1200 0.004671 89.4 193.105459
41 289.128193 71.206458 18.110256 20.440169 -99.000000 -99.000000 1 1200 0.004625 83.0 132.204973
42 281.614944 67.925895 17.396598 20.152061 -99.000000 -99.000000 1 1200 0.004504 88.7 88.547103
43 278.207732 67.036986 17.162162 19.932202 -99.000000 -99.000000 1 1200 0.004350 89.1 122.088723
44 277.803192 66.960411 17.135193 19.905233 -99.000000 -99.000000 1 1200 0.004310 89.5 178.302864
45 284.979096 72.265893 18.021902 19.975311 -99.000000 -99.000000 1 1200 0.004267 88.7 134.692549
46 278.185546 66.865780 17.161089 19.930317 -99.000000 -99.000000 1 1200 0.003663 89.5 93.100802
47 285.212904 69.668267 17.706640 20.321747 -99.000000 -99.000000 1 1200 0.003648 86.1 153.095695
48 285.834646 69.561277 17.740893 20.370393 -99.000000 -99.000000 1 1200 0.003637 86.1 127.964626
49 286.968511 70.227706 17.865478 20.396990 -99.000000 -99.000000 1 1200 0.003624 86.3 181.756881
50 281.930044 68.335573 17.425453 20.165219 -99.000000 -99.000000 1 1200 0.003581 88.0 140.435102
51 282.948452 71.296135 17.711579 20.014881 -99.000000 -99.000000 1 1200 0.003385 89.7 146.817333
52 287.435921 69.187500 17.828308 20.496481 -99.000000 -99.000000 1 1200 0.003339 89.6 175.622286
53 288.770255 71.434581 18.127600 20.375100 -99.000000 -99.000000 1 1200 0.003322 83.0 145.547586
54 287.257978 71.307125 17.998881 20.302183 -99.000000 -99.000000 1 1200 0.003125 83.7 199.239499
55 286.984467 70.122748 17.857394 20.407201 -99.000000 -99.000000 1 1200 0.003096 86.3 172.749252
56 290.192335 70.837651 18.143841 20.548471 -99.000000 -99.000000 1 1200 0.003017 85.0 168.839851
57 279.995190 69.873487 17.374337 19.958355 -99.000000 -99.000000 1 1200 0.002880 89.0 115.768228
58 286.999451 70.973740 17.943011 20.323583 -99.000000 -99.000000 1 1200 0.002781 83.4 224.258684
59 278.381256 67.146515 17.173607 19.943894 -99.000000 -99.000000 1 1200 0.002701 89.1 172.907205
60 287.032480 71.514197 18.011749 20.259249 -99.000000 -99.000000 1 1200 0.002455 84.3 167.250392
61 284.172184 71.180165 17.779856 20.109769 -99.000000 -99.000000 1 1200 0.002370 85.7 141.727048
62 284.903342 70.041152 17.709903 20.277210 -99.000000 -99.000000 1 1200 0.002312 85.1 144.087122
63 286.378167 71.658096 17.997760 20.185995 -99.000000 -99.000000 1 1200 0.002262 84.3 169.331694
64 286.294021 70.897820 17.883953 20.288583 -99.000000 -99.000000 1 1200 0.002244 84.0 169.512838
65 286.688248 69.404021 17.790982 20.434118 -99.000000 -99.000000 1 1200 0.002191 89.6 201.219748
66 282.171917 68.888458 17.461328 20.161594 -99.000000 -99.000000 1 1200 0.002167 86.6 138.178361
67 282.088051 69.507201 17.491120 20.120620 -99.000000 -99.000000 1 1200 0.002145 86.4 193.807461
68 285.502809 71.769598 17.954871 20.112170 -99.000000 -99.000000 1 1200 0.002143 87.6 158.972715
69 288.063640 71.891928 18.141496 20.266989 -99.000000 -99.000000 1 1200 0.002064 85.3 150.211942
70 284.925201 72.236107 18.000233 19.989794 -99.000000 -99.000000 1 1200 0.001957 88.7 203.843279
71 282.376647 69.475835 17.503542 20.146678 -99.000000 -99.000000 1 1200 0.001910 86.4 177.720781
72 289.113556 71.387070 18.136321 20.412153 -99.000000 -99.000000 1 1200 0.001821 82.7 249.427872
73 289.536721 70.838829 18.100133 20.504763 -99.000000 -99.000000 1 1200 0.001771 85.0 218.908711
74 285.334995 69.946556 17.730324 20.314342 -99.000000 -99.000000 1 1200 0.001729 86.1 173.678705
75 283.470884 70.753735 17.684136 20.111982 -99.000000 -99.000000 1 1200 0.001709 88.6 167.123754
76 284.860344 70.828500 17.788375 20.193004 -99.000000 -99.000000 1 1200 0.001705 85.7 203.158399
77 284.558954 69.224622 17.636510 20.304683 -99.000000 -99.000000 1 1200 0.001697 88.8 177.476324
78 285.959575 69.845193 17.771962 20.355981 -99.000000 -99.000000 1 1200 0.001682 86.1 209.011182
79 287.554169 70.306305 17.914072 20.426484 -99.000000 -99.000000 1 1200 0.001675 86.3 245.112108
80 284.668067 71.162332 17.812914 20.142828 -99.000000 -99.000000 1 1200 0.001646 86.5 150.458606
81 286.381097 71.001383 17.901787 20.282359 -99.000000 -99.000000 1 1200 0.001570 84.0 116.694253
82 286.940666 72.032523 18.099745 20.159011 -99.000000 -99.000000 1 1200 0.001521 85.3 158.996355
83 286.780681 71.947896 18.072305 20.165119 -99.000000 -99.000000 1 1200 0.001446 84.3 90.810235
84 281.629210 67.732911 17.393910 20.156651 -99.000000 -99.000000 1 1200 0.001409 88.7 179.519951
85 280.066535 67.715334 17.289732 20.052473 -99.000000 -99.000000 1 1200 0.001392 88.1 194.282697
86 286.164122 71.368791 17.939692 20.215524 -99.000000 -99.000000 1 1200 0.001365 83.7 125.466450
87 283.924469 70.464653 17.682046 20.174549 -99.000000 -99.000000 1 1200 0.001346 85.2 235.361080
88 283.829880 69.825072 17.622017 20.221967 -99.000000 -99.000000 1 1200 0.001294 85.4 160.461409
89 288.640542 71.835974 18.179957 20.305449 -99.000000 -99.000000 1 1200 0.001280 83.1 208.057326
90 282.043862 69.545178 17.488174 20.117674 -99.000000 -99.000000 1 1200 0.001276 86.4 190.469011
91 280.585301 67.675757 17.324316 20.087057 -99.000000 -99.000000 1 1200 0.001271 89.8 144.599115
92 277.772184 67.627082 17.135421 19.900870 -99.000000 -99.000000 1 1200 0.001237 88.9 140.717346
93 279.863106 67.772542 17.277833 20.037248 -99.000000 -99.000000 1 1200 0.001219 88.1 196.651743
94 280.138367 69.857292 17.383882 19.967900 -99.000000 -99.000000 1 1200 0.001192 89.0 211.186545
95 280.173317 69.984543 17.394568 19.961875 -99.000000 -99.000000 1 1200 0.001157 89.0 193.756563
96 285.128148 71.523524 17.899393 20.117694 -99.000000 -99.000000 1 1200 0.001088 87.6 189.242857
97 288.110905 71.141626 18.042437 20.372350 -99.000000 -99.000000 1 1200 0.001088 83.2 176.132745
98 282.041569 68.149939 17.429947 20.175595 -99.000000 -99.000000 1 1200 0.001080 88.0 186.743117
99 282.094946 70.634951 17.581217 20.031443 -99.000000 -99.000000 1 1200 0.001068 87.8 185.774184
100 281.600719 69.065312 17.433586 20.113176 -99.000000 -99.000000 1 1200 0.001054 86.6 158.911043
