ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
1 -81.260567 15.839870 20.316502 21.480789 15.684469 16.848756 1 1200 0.193785 89.7
2 -80.534294 17.118529 20.413412 21.585478 15.676616 16.848682 1 1200 0.096701 84.4
3 -80.916451 15.890814 20.341364 21.505935 15.705205 16.869776 1 1200 0.066275 84.6
4 -80.945099 16.138545 20.348994 21.515001 15.692319 16.858326 1 1200 0.045982 84.6
5 -80.599693 17.448013 20.420695 21.594840 15.658534 16.832679 1 1200 0.044202 90.0
6 -80.735916 15.390275 20.333987 21.495775 15.739437 16.901224 1 1200 0.043408 76.3
7 -79.899254 15.921720 20.410136 21.574849 15.771917 16.936630 1 1200 0.042407 37.7
8 -80.415421 16.288941 20.389976 21.556860 15.721084 16.887968 1 1200 0.037559 76.1
9 -80.455795 17.253243 20.423146 21.596005 15.676555 16.849414 1 1200 0.035965 77.2
10 -80.069717 16.009624 20.402597 21.567882 15.756155 16.921441 1 1200 0.035222 49.0
11 -80.258415 16.778855 20.419049 21.588937 15.709941 16.879829 1 1200 0.025974 69.8
12 -80.591682 16.779752 20.396832 21.566720 15.687723 16.857611 1 1200 0.022260 84.4
13 -80.799370 15.709386 20.342426 21.506009 15.720742 16.884325 1 1200 0.021448 73.2
14 -80.090813 17.586879 20.459047 21.634006 15.687219 16.862178 1 1200 0.020799 74.2
15 -79.832634 17.401870 20.470054 21.643875 15.711774 16.885595 1 1200 0.016290 65.3
16 -79.189011 16.139267 20.466066 21.632074 15.809391 16.975399 1 1200 0.013799 26.2
17 -78.940147 15.723338 20.466374 21.629957 15.844690 17.008273 1 1200 0.013736 29.4
18 -79.725334 15.775434 20.415960 21.579824 15.790131 16.953995 1 1200 0.013703 29.4
19 -80.199753 17.708744 20.456182 21.631963 15.674736 16.850518 1 1200 0.010428 84.9
20 -79.858406 17.066625 20.456663 21.628414 15.723799 16.895550 1 1200 0.010148 60.2
21 -79.736382 17.265141 20.472004 21.645023 15.723460 16.896478 1 1200 0.009571 54.7
22 -80.820068 16.941291 20.388011 21.558980 15.665011 16.835980 1 1200 0.009387 84.4
23 -78.417404 14.942989 20.469702 21.628956 15.915390 17.074644 1 1200 0.009189 65.1
24 -78.379341 16.026132 20.516242 21.681671 15.867750 17.033179 1 1200 0.008516 54.3
25 -79.657440 16.660989 20.454505 21.623630 15.755378 16.924503 1 1200 0.008245 42.9
26 -78.110733 16.233227 20.541736 21.708327 15.876909 17.043500 1 1200 0.008101 59.8
27 -79.385979 16.361894 20.461425 21.628752 15.786451 16.953778 1 1200 0.007810 28.7
28 -79.544365 16.174942 20.444271 21.610569 15.783515 16.949814 1 1200 0.007680 31.6
29 -79.861038 15.875029 20.410765 21.575194 15.776668 16.941097 1 1200 0.007646 37.7
30 -79.046066 16.069362 20.472746 21.638319 15.822205 16.987779 1 1200 0.006588 27.2
31 -78.828072 17.176791 20.528964 21.701346 15.788244 16.960626 1 1200 0.006499 26.4
32 -80.536911 15.893171 20.366667 21.531238 15.730508 16.895078 1 1200 0.006238 69.0
33 -79.037361 17.326633 20.520395 21.693734 15.767951 16.941290 1 1200 0.006131 29.0
34 -79.861977 15.896712 20.411663 21.576233 15.775503 16.940074 1 1200 0.005862 37.7
35 -79.685555 14.834870 20.381139 21.539873 15.835386 16.994120 1 1200 0.005825 24.5
36 -80.253464 15.915759 20.386522 21.551235 15.748303 16.913016 1 1200 0.005606 55.0
37 -79.695099 16.278799 20.437997 21.604881 15.769105 16.935990 1 1200 0.005558 37.7
38 -79.935455 16.173473 20.418198 21.584497 15.757443 16.923741 1 1200 0.005492 42.9
39 -77.983597 17.581705 20.599528 21.774487 15.827700 17.002659 1 1200 0.004940 43.6
40 -78.850075 17.388886 20.534667 21.708327 15.778330 16.951990 1 1200 0.004193 27.3
41 -77.567360 16.026085 20.570374 21.735803 15.921882 17.087311 1 1200 0.004148 88.6
42 -79.887878 17.089299 20.455603 21.627511 15.720772 16.892680 1 1200 0.004099 60.2
43 -77.781281 17.157291 20.597849 21.770073 15.859090 17.031314 1 1200 0.004011 60.7
44 -78.489792 16.170704 20.513629 21.679782 15.854913 17.021066 1 1200 0.003997 43.0
45 -80.348785 14.785267 20.334908 21.493384 15.793445 16.951921 1 1200 0.003782 40.6
46 -80.844490 15.725624 20.339418 21.503001 15.717734 16.881317 1 1200 0.003318 73.2
47 -78.493683 16.823592 20.538534 21.708729 15.825446 16.995642 1 1200 0.003264 34.5
48 -79.424164 16.972212 20.481982 21.653107 15.757005 16.928130 1 1200 0.003012 35.4
49 -79.583649 16.515950 20.453856 21.622077 15.766770 16.934991 1 1200 0.002975 35.4
50 -80.244156 15.490647 20.370689 21.533024 15.767755 16.930090 1 1200 0.002728 49.0
51 -78.125198 16.763315 20.560344 21.730079 15.853228 17.022963 1 1200 0.002381 48.8
52 -79.507050 17.103402 20.480991 21.652900 15.746160 16.918069 1 1200 0.002257 45.0
53 -79.675995 15.717703 20.417317 21.580900 15.795634 16.959217 1 1200 0.002240 29.4
54 -78.168060 19.307731 20.644533 21.831406 15.746186 16.933059 1 1200 0.002220 30.5
55 -77.468399 16.824965 20.606886 21.777081 15.893799 17.063994 1 1200 0.002174 82.1
56 -78.848297 15.613822 20.468619 21.631644 15.855249 17.018275 1 1200 0.002114 36.6
57 -79.034439 17.243982 20.517903 21.690762 15.771312 16.944171 1 1200 0.002113 29.0
