ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
1 -85.427025 17.260205 20.091731 21.264590 15.345140 16.517999 1 1200 0.079621 88.5
2 -86.287872 17.728199 20.051183 21.227130 15.267820 16.443767 1 1200 0.057637 77.3
3 -86.413330 17.831521 20.046312 21.222924 15.255298 16.431911 1 1200 0.044372 70.9
4 -86.247299 15.311204 19.962625 21.123871 15.376489 16.537735 1 1200 0.039235 71.0
5 -84.893036 16.566656 20.102686 21.271358 15.409571 16.578242 1 1200 0.038954 88.5
6 -85.618530 15.978315 20.031722 21.196863 15.387333 16.552474 1 1200 0.036833 77.2
7 -85.487808 17.339029 20.091259 21.264758 15.336867 16.510367 1 1200 0.036240 77.3
8 -85.239555 17.299482 20.106021 21.279200 15.355526 16.528705 1 1200 0.035085 88.5
9 -86.172653 15.475926 19.974478 21.136676 15.373637 16.535835 1 1200 0.034285 74.8
10 -85.693954 16.540521 20.047433 21.215804 15.358336 16.526706 1 1200 0.034216 77.2
11 -85.630264 16.616624 20.055392 21.224365 15.358266 16.527240 1 1200 0.027743 77.2
12 -86.344437 16.993243 20.021540 21.192820 15.294588 16.465869 1 1200 0.027009 74.8
13 -86.569199 16.169719 19.975002 21.141155 15.316286 16.482438 1 1200 0.023518 70.9
14 -86.050301 17.014220 20.042057 21.213494 15.313132 16.484570 1 1200 0.022876 74.8
15 -86.208687 16.468592 20.011255 21.179326 15.326183 16.494254 1 1200 0.022521 77.2
16 -87.678543 15.098425 19.859285 21.019460 15.290068 16.450243 1 1200 0.020590 57.8
17 -85.571709 16.230537 20.044338 21.210928 15.379510 16.546101 1 1200 0.017344 77.2
18 -86.209305 16.728783 20.020483 21.190065 15.315361 16.484943 1 1200 0.017313 74.8
19 -85.127556 17.301141 20.113488 21.286666 15.362993 16.536171 1 1200 0.016984 88.5
20 -85.592476 14.371839 19.966986 21.123189 15.464481 16.620684 1 1200 0.016749 87.4
21 -86.270340 16.829664 20.020090 21.190285 15.307003 16.477198 1 1200 0.014904 74.8
22 -87.435493 16.895029 19.945158 21.115817 15.226117 16.396776 1 1200 0.014418 56.0
23 -86.841042 15.525204 19.931873 21.094346 15.326849 16.489321 1 1200 0.013917 67.3
24 -85.612549 16.108998 20.036882 21.202744 15.382249 16.548112 1 1200 0.013113 77.2
25 -86.138878 16.698752 20.024256 21.193686 15.321130 16.490560 1 1200 0.012722 74.8
26 -87.144485 17.226371 19.976336 21.149035 15.231700 16.404400 1 1200 0.012441 61.6
27 -85.928627 14.090767 19.933194 21.088052 15.454798 16.609656 1 1200 0.011408 77.1
28 -88.808952 15.623870 19.804575 20.967601 15.191206 16.354231 1 1200 0.010929 56.9
29 -85.177689 13.905140 19.974896 21.128798 15.514177 16.668079 1 1200 0.010879 77.1
30 -86.857849 16.221863 19.958595 21.125186 15.293768 16.460358 1 1200 0.010393 67.1
