ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
31 -86.522194 17.960530 20.043394 21.220845 15.242862 16.420314 1 1200 0.010342 70.9
32 -89.032982 15.832576 19.798341 20.962628 15.166308 16.330595 1 1200 0.010197 56.9
33 -88.229469 16.552156 19.879329 21.047850 15.188221 16.356742 1 1200 0.010156 51.6
34 -87.011589 16.170608 19.945509 21.111662 15.286793 16.452946 1 1200 0.009966 62.2
35 -85.855904 16.814632 20.047719 21.217914 15.334632 16.504827 1 1200 0.009132 77.2
36 -89.458229 17.287728 19.823881 20.996899 15.075337 16.248355 1 1200 0.008367 59.1
37 -86.671516 18.221085 20.042031 21.221186 15.222612 16.401767 1 1200 0.008356 66.7
38 -88.597290 17.272005 19.881277 21.054295 15.132733 16.305751 1 1200 0.008247 52.1
39 -88.505013 17.377696 19.891004 21.064664 15.134667 16.308327 1 1200 0.007468 50.4
40 -89.425720 16.978894 19.815211 20.986336 15.090234 16.261359 1 1200 0.007294 66.3
41 -89.647903 15.915013 19.760226 20.924939 15.122007 16.286720 1 1200 0.007042 68.4
42 -85.738724 15.924616 20.020838 21.185551 15.382619 16.547332 1 1200 0.006713 77.2
43 -86.714722 15.507894 19.939318 21.101653 15.336384 16.498719 1 1200 0.006252 71.0
44 -89.112175 16.597330 19.822338 20.991160 15.127216 16.296039 1 1200 0.006204 60.8
45 -86.928322 16.328814 19.957663 21.124842 15.284715 16.451894 1 1200 0.005717 67.1
46 -86.196289 17.298648 20.042239 21.215418 15.291744 16.464922 1 1200 0.005602 70.9
47 -86.191132 16.183354 20.001153 21.167451 15.340398 16.506696 1 1200 0.005445 77.2
48 -86.653618 17.688982 20.025047 21.200663 15.245521 16.421137 1 1200 0.005238 66.8
49 -88.618439 17.697347 19.894936 21.070718 15.113491 16.289272 1 1200 0.005175 49.7
50 -86.543854 15.958211 19.969078 21.134076 15.326743 16.491742 1 1200 0.004989 70.9
51 -87.945129 17.200807 19.922060 21.094601 15.179382 16.351922 1 1200 0.004891 52.8
52 -88.949295 16.803577 19.840576 21.010617 15.129477 16.299518 1 1200 0.004885 54.5
53 -86.993088 14.317180 19.871552 21.027508 15.373414 16.529370 1 1200 0.004755 67.6
54 -88.937851 18.134752 19.888376 21.067017 15.074603 16.253243 1 1200 0.004754 52.3
55 -87.175911 16.809831 19.958801 21.128843 15.247702 16.417744 1 1200 0.004690 61.9
56 -87.544388 17.426077 19.956827 21.130810 15.196605 16.370588 1 1200 0.004447 55.2
57 -86.248329 14.847640 19.943621 21.102355 15.397868 16.556602 1 1200 0.004235 71.0
58 -88.540070 17.937799 19.908003 21.085286 15.109371 16.286654 1 1200 0.004188 48.7
59 -87.697975 17.886204 19.962408 21.139355 15.167581 16.344529 1 1200 0.003884 53.6
60 -88.268791 15.646457 19.841557 21.004722 15.226106 16.389271 1 1200 0.003824 53.1
61 -89.116409 14.486266 19.737187 20.894012 15.223800 16.380625 1 1200 0.003789 60.1
62 -88.476181 17.576283 19.900022 21.074981 15.128194 16.303154 1 1200 0.003638 49.3
63 -87.052254 17.449847 19.990524 21.164669 15.228364 16.402508 1 1200 0.003499 61.6
64 -89.401512 17.901450 19.849707 21.026822 15.052977 16.230092 1 1200 0.003384 57.5
65 -88.391960 15.083288 19.810728 20.970771 15.243635 16.403677 1 1200 0.003377 53.9
66 -87.083862 16.543307 19.955703 21.124223 15.264595 16.433116 1 1200 0.002723 61.9
67 -87.933548 15.392211 19.854145 21.015933 15.259594 16.421382 1 1200 0.002549 53.7
68 -86.385681 17.971148 20.053359 21.230980 15.250930 16.428550 1 1200 0.002487 70.9
69 -89.126228 14.859289 19.752768 20.911631 15.204872 16.363735 1 1200 0.002260 64.7
70 -89.191025 17.424958 19.847051 21.021034 15.086829 16.260812 1 1200 0.001723 59.1
71 -88.199318 16.913569 19.894237 21.064895 15.175196 16.345854 1 1200 0.001529 51.0
72 -87.845085 17.266704 19.931424 21.104442 15.182880 16.355898 1 1200 0.001386 54.1
73 -88.148529 17.131211 19.905796 21.077862 15.169000 16.341066 1 1200 0.000952 50.4
