index RAJ2000 DEJ2000 exptime Nvis LogProb contour
0 -85.427025 17.260205 1200.0 1.0 -21.777781508924246 88.48120392012716
1 -86.287872 17.728199 1200.0 1.0 -22.100891086883284 77.26398450801358
2 -86.41333 17.831521 1200.0 1.0 -22.36245016778661 70.8744061702563
3 -86.247299 15.311204 1200.0 1.0 -22.485499528702352 70.9608665078396
4 -84.893036 16.566656 1200.0 1.0 -22.49266638610775 88.47970246615915
5 -85.61853 15.978315 1200.0 1.0 -22.54867090920867 77.20127032182441
6 -85.487808 17.339029 1200.0 1.0 -22.564903691837724 77.26563133147745
7 -85.239555 17.299482 1200.0 1.0 -22.597294413959272 88.48095878478544
8 -86.172653 15.475926 1200.0 1.0 -22.620350427939012 74.80500002210427
9 -85.693954 16.540521 1200.0 1.0 -22.62236955553204 77.20047153645756
10 -85.630264 16.616624 1200.0 1.0 -22.832076099963206 77.1996727510907
11 -86.344437 16.993243 1200.0 1.0 -22.858900830972512 74.80597839210937
12 -86.569199 16.169719 1200.0 1.0 -22.99730891193938 70.9420120247299
13 -86.050301 17.01422 1200.0 1.0 -23.024967366570333 74.80756507932628
14 -86.208687 16.468592 1200.0 1.0 -23.04060295503911 77.19952751738765
15 -87.678543 15.098425 1200.0 1.0 -23.130258065559705 57.82022148390021
16 -85.571709 16.230537 1200.0 1.0 -23.30182401083834 77.20177863978513
17 -86.209305 16.728783 1200.0 1.0 -23.303599379420707 74.80610044497222
18 -85.127556 17.301141 1200.0 1.0 -23.322807684500955 88.48092814286773
19 -85.592476 14.371839 1200.0 1.0 -23.336726744657884 87.36655603674834
20 -86.27034 16.829664 1200.0 1.0 -23.453412638060943 74.80780918505195
21 -87.435493 16.895029 1200.0 1.0 -23.4865700099979 56.02271183432242
22 -86.841042 15.525204 1200.0 1.0 -23.521914270924523 67.31660066299035
23 -85.612549 16.108998 1200.0 1.0 -23.581462466156683 77.19894658257539
24 -86.138878 16.698752 1200.0 1.0 -23.611728879536923 74.80610044497222
25 -87.144485 17.226371 1200.0 1.0 -23.634061138802668 61.59315822043969
26 -85.928627 14.090767 1200.0 1.0 -23.72075478585437 77.07265921444964
27 -88.808952 15.62387 1200.0 1.0 -23.763657034639987 56.854245917885535
28 -85.177689 13.90514 1200.0 1.0 -23.768228894435776 77.0729612941116
29 -86.857849 16.221863 1200.0 1.0 -23.81392221273587 67.10555454346353
30 -86.522194 17.96053 1200.0 1.0 -23.818847593092 70.87547405547559
31 -89.032982 15.832576 1200.0 1.0 -23.832958335606808 56.8505133507762
32 -88.229469 16.552156 1200.0 1.0 -23.836956930401353 51.59597342113235
33 -87.011589 16.170608 1200.0 1.0 -23.855926514462677 62.24756214668464
34 -85.855904 16.814632 1200.0 1.0 -23.943319893358495 77.19785732980242
35 -89.458229 17.287728 1200.0 1.0 -24.030723759871773 59.1267930842966
36 -86.671516 18.221085 1200.0 1.0 -24.032028397182227 66.69387087933893
37 -88.59729 17.272005 1200.0 1.0 -24.045213895950678 52.10134918178929
38 -88.505013 17.377696 1200.0 1.0 -24.144438698798307 50.36872792189986
39 -89.42572 16.978894 1200.0 1.0 -24.1679907267642 66.27115121861192
40 -89.647903 15.915013 1200.0 1.0 -24.203094353326566 68.36922095777211
41 -85.738724 15.924616 1200.0 1.0 -24.250959195100858 77.20068938701216
42 -86.714722 15.507894 1200.0 1.0 -24.322137472539975 70.96316465395752
43 -89.112175 16.59733 1200.0 1.0 -24.32978931227211 60.816766132542455
44 -86.928322 16.328814 1200.0 1.0 -24.411547127852362 67.10383829697389
45 -86.196289 17.298648 1200.0 1.0 -24.431940299564747 70.89506007740613
46 -86.191132 16.183354 1200.0 1.0 -24.46034158831583 77.19960013423918
47 -86.653618 17.688982 1200.0 1.0 -24.499174203625262 66.80897956932431
48 -88.618439 17.697347 1200.0 1.0 -24.51116762098064 49.697211456467606
49 -86.543854 15.958211 1200.0 1.0 -24.547795667933773 70.94096064628066
50 -87.945129 17.200807 1200.0 1.0 -24.567644571028193 52.763601415820595
51 -88.949295 16.803577 1200.0 1.0 -24.5689090316117 54.451347915131386
52 -86.993088 14.31718 1200.0 1.0 -24.5958957096389 67.61327058735203
53 -88.937851 18.134752 1200.0 1.0 -24.596011587560422 52.25986627915291
54 -87.175911 16.809831 1200.0 1.0 -24.609650735889534 61.87094524885762
55 -87.544388 17.426077 1200.0 1.0 -24.662715745331436 55.23820303191018
56 -86.248329 14.84764 1200.0 1.0 -24.711598300887513 70.99853643449059
57 -88.54007 17.937799 1200.0 1.0 -24.722924134928338 48.743799723257574
58 -87.697975 17.886204 1200.0 1.0 -24.79830440774027 53.624641056878886
59 -88.268791 15.646457 1200.0 1.0 -24.81375750292622 53.14175958880355
60 -89.116409 14.486266 1200.0 1.0 -24.82286975131021 60.09466541958993
61 -88.476181 17.576283 1200.0 1.0 -24.863693581586293 49.344929975427746
62 -87.052254 17.449847 1200.0 1.0 -24.902521897935653 61.591505103945366
63 -89.401512 17.90145 1200.0 1.0 -24.93592071047402 57.48943671507993
64 -88.39196 15.083288 1200.0 1.0 -24.937975060162774 53.9494501644083
65 -87.083862 16.543307 1200.0 1.0 -25.153219667520975 61.871484235712515
66 -87.933548 15.392211 1200.0 1.0 -25.21931462193505 53.678903965404615
67 -86.385681 17.971148 1200.0 1.0 -25.244099805126442 70.87526047843173
68 -89.126228 14.859289 1200.0 1.0 -25.339546698724487 64.71041419433558
69 -89.191025 17.424958 1200.0 1.0 -25.610776901374646 59.12484335441576
70 -88.199318 16.913569 1200.0 1.0 -25.73023290221435 51.030947885593335
71 -87.845085 17.266704 1200.0 1.0 -25.82859332104326 54.088407393301196
72 -88.148529 17.131211 1200.0 1.0 -26.204314808037235 50.418596222291654
